Cell	 #Total Tweets	 #Overal Sentiment Score
A1 		 2752 		 756
A2 		 4904 		 4127
A3 		 5824 		 2692
A4 		 381 		 55
B1 		 21232 		 11743
B2 		 107386 		 32085
B3 		 34494 		 20213
B4 		 6643 		 5756
C1 		 10643 		 7691
C2 		 246925 		 191940
C3 		 69901 		 41430
C4 		 26097 		 19592
C5 		 5581 		 2656
D3 		 16318 		 7972
D4 		 16666 		 9538
D5 		 4705 		 3786
time taken for this script to run --- 194.266071 seconds ---
